scenario_id,strategy_name,random_seed,swarm_size,uavs_destroyed,uavs_penetrated,penetration_rate,defense_cost,attack_cost,penetration_cost,total_cost,cost_exchange_ratio,kinetic_fired,de_fired,kinetic_hits,de_hits,kinetic_accuracy,de_accuracy,overall_accuracy,steps,termination_reason,timestamp,simulation_completed,total_shots_fired,miss_penalty_cost,total_hits
0,Kinetic_First,1608637542,141,128,13,0.09219858156028368,200000000.0,4935000.0,55575209.696407385,305608138.6152239,61.92667449143341,200,0,184,0,0.92,,0.92,200,all_uavs_neutralized,2026-02-22T12:47:50.643079,True,200,50032928.918816485,184
1,Kinetic_First,1273642419,274,183,91,0.33211678832116787,200000000.0,9590000.0,404857937.49117863,686026526.3837365,71.53561276159921,200,0,183,0,0.915,,0.915,200,all_uavs_neutralized,2026-02-22T12:47:50.653293,True,200,81168588.8925579,183
2,Kinetic_First,1935803228,442,183,259,0.5859728506787331,200000000.0,15470000.0,1278557518.273638,1554548919.572578,100.48797153022483,200,0,183,0,0.915,,0.915,200,all_uavs_neutralized,2026-02-22T12:47:50.666118,True,200,75991401.2989399,183
3,Kinetic_First,787846414,388,183,205,0.5283505154639175,200000000.0,13580000.0,890061896.3733194,1167606589.66843,85.97986669134242,200,0,183,0,0.915,,0.915,200,all_uavs_neutralized,2026-02-22T12:47:50.680612,True,200,77544693.29511076,183
4,Kinetic_First,996406378,337,182,155,0.4599406528189911,200000000.0,11795000.0,755329290.4499284,1038937173.0920347,88.08284638338573,200,0,182,0,0.91,,0.91,200,all_uavs_neutralized,2026-02-22T12:47:50.696037,True,200,83607882.64210632,182
5,Kinetic_First,1201263687,313,182,131,0.4185303514376997,200000000.0,10955000.0,624396815.5210377,885734612.416331,80.85208693896222,200,0,182,0,0.91,,0.91,200,all_uavs_neutralized,2026-02-22T12:47:50.711709,True,200,61337796.895293295,182
6,Kinetic_First,423734972,240,172,68,0.2833333333333333,200000000.0,8400000.0,309956853.15379715,625130603.4475787,74.42030993423556,200,0,172,0,0.86,,0.86,200,all_uavs_neutralized,2026-02-22T12:47:50.727618,True,200,115173750.29378147,172
7,Kinetic_First,415968276,111,100,11,0.0990990990990991,200000000.0,3885000.0,50028043.45209414,286509524.560933,73.74762536960952,200,0,181,0,0.905,,0.905,200,all_uavs_neutralized,2026-02-22T12:47:50.740752,True,200,36481481.10883883,181
8,Kinetic_First,670094950,268,185,83,0.30970149253731344,200000000.0,9380000.0,388515802.6499686,646379016.3302397,68.91034289234965,200,0,185,0,0.925,,0.925,200,all_uavs_neutralized,2026-02-22T12:47:50.752427,True,200,57863213.68027103,185
9,Kinetic_First,1914837113,236,180,56,0.23728813559322035,200000000.0,8260000.0,294152677.67331487,592351143.2394607,71.71321346724706,200,0,180,0,0.9,,0.9,200,all_uavs_neutralized,2026-02-22T12:47:50.765962,True,200,98198465.56614587,180
