scenario_id,strategy_name,random_seed,swarm_size,uavs_destroyed,uavs_penetrated,penetration_rate,defense_cost,attack_cost,penetration_cost,total_cost,cost_exchange_ratio,kinetic_fired,de_fired,kinetic_hits,de_hits,kinetic_accuracy,de_accuracy,overall_accuracy,steps,termination_reason,timestamp,simulation_completed,total_shots_fired,miss_penalty_cost,total_hits
0,RL_Agent,1608637542,141,123,18,0.1276595744680851,117280000.0,4935000.0,85692856.83320777,274589817.82517034,55.641300471159134,117,28,107,19,0.9145299145299145,0.6785714285714286,0.8689655172413793,200,all_uavs_neutralized,2026-02-22T12:57:09.449665,True,145,71616960.99196254,126
1,RL_Agent,1273642419,274,130,144,0.5255474452554745,125210000.0,9590000.0,657922820.8653337,855986884.3693099,89.25827782787381,125,21,113,17,0.904,0.8095238095238095,0.8904109589041096,200,all_uavs_neutralized,2026-02-22T12:57:09.511706,True,146,72854063.50397617,130
2,RL_Agent,1935803228,442,128,314,0.7104072398190046,128180000.0,15470000.0,1513228824.5354052,1732844999.2983959,112.01325140907537,128,18,116,12,0.90625,0.6666666666666666,0.8767123287671232,200,all_uavs_neutralized,2026-02-22T12:57:09.572621,True,146,91436174.76299074,128
3,RL_Agent,787846414,388,132,256,0.6597938144329897,127190000.0,13580000.0,1193843694.3688233,1390323893.5817955,102.38025725933693,127,19,118,14,0.9291338582677166,0.7368421052631579,0.9041095890410958,200,all_uavs_neutralized,2026-02-22T12:57:09.642484,True,146,69290199.2129721,132
4,RL_Agent,996406378,337,128,209,0.6201780415430267,126190000.0,11795000.0,1046463938.0832118,1248370676.8835292,105.83897218173202,126,19,115,13,0.9126984126984127,0.6842105263157895,0.8827586206896552,200,all_uavs_neutralized,2026-02-22T12:57:09.707472,True,145,75716738.80031723,128
5,RL_Agent,1201263687,313,126,187,0.597444089456869,126200000.0,10955000.0,920921637.132678,1127838596.3315077,102.95194854691992,126,20,115,11,0.9126984126984127,0.55,0.863013698630137,200,all_uavs_neutralized,2026-02-22T12:57:09.763003,True,146,80716959.19882976,126
6,RL_Agent,423734972,240,117,123,0.5125,124210000.0,8400000.0,581207902.3261257,816341209.1114066,97.18347727516745,124,21,104,13,0.8387096774193549,0.6190476190476191,0.8068965517241379,200,all_uavs_neutralized,2026-02-22T12:57:09.840688,True,145,110923306.78528076,117
7,RL_Agent,415968276,111,100,11,0.0990990990990991,114310000.0,3885000.0,61580476.71350315,212371957.82234198,54.664596608067434,114,31,103,26,0.9035087719298246,0.8387096774193549,0.8896551724137931,200,all_uavs_neutralized,2026-02-22T12:57:09.901314,True,145,36481481.10883883,129
8,RL_Agent,670094950,268,129,139,0.5186567164179104,124210000.0,9380000.0,702994960.4586908,911434553.595839,97.16786285669926,124,21,115,14,0.9274193548387096,0.6666666666666666,0.8896551724137931,200,all_uavs_neutralized,2026-02-22T12:57:09.956601,True,145,84229593.13714822,129
9,RL_Agent,1914837113,236,126,110,0.4661016949152542,123220000.0,8260000.0,550644276.115477,779613445.788413,94.38419440537689,123,22,110,16,0.8943089430894309,0.7272727272727273,0.8689655172413793,200,all_uavs_neutralized,2026-02-22T12:57:10.011744,True,145,105749169.67293611,126
10,RL_Agent,669991378,215,124,91,0.4232558139534884,123230000.0,7525000.0,416257800.77356863,635696135.7164438,84.47789178956063,123,23,108,16,0.8780487804878049,0.6956521739130435,0.8493150684931506,200,all_uavs_neutralized,2026-02-22T12:57:10.068472,True,146,96208334.94287512,124
11,RL_Agent,429389014,264,127,137,0.5189393939393939,124210000.0,9240000.0,682936925.1157042,909853045.381376,98.46894430534373,124,21,113,14,0.9112903225806451,0.6666666666666666,0.8758620689655172,200,all_uavs_neutralized,2026-02-22T12:57:10.131302,True,145,102706120.2656718,127
12,RL_Agent,249467210,141,123,18,0.1276595744680851,117280000.0,4935000.0,77855240.80804351,292159396.37347996,59.201498758557236,117,28,107,17,0.9145299145299145,0.6071428571428571,0.8551724137931035,200,all_uavs_neutralized,2026-02-22T12:57:10.190112,True,145,97024155.56543644,124
13,RL_Agent,1972458954,356,124,232,0.651685393258427,127190000.0,12460000.0,1160520667.0673895,1370110310.8818583,109.96069910769329,127,19,112,12,0.8818897637795275,0.631578947368421,0.8493150684931506,200,all_uavs_neutralized,2026-02-22T12:57:10.254466,True,146,82399643.81446876,124
14,RL_Agent,1572714583,500,129,371,0.742,129170000.0,17500000.0,1817009707.4735544,2034138308.35926,116.23647476338628,129,17,117,12,0.9069767441860465,0.7058823529411765,0.8835616438356164,200,all_uavs_neutralized,2026-02-22T12:57:10.313326,True,146,87958600.88570566,129
15,RL_Agent,1433267572,252,127,125,0.49603174603174605,124210000.0,8820000.0,561562991.4449425,757989224.3735925,85.93982135755017,124,21,110,17,0.8870967741935484,0.8095238095238095,0.8758620689655172,200,all_uavs_neutralized,2026-02-22T12:57:10.379405,True,145,72216232.92864999,127
16,RL_Agent,434285667,307,127,180,0.5863192182410424,125200000.0,10745000.0,863595442.8949767,1076229108.6902704,100.16092216754494,125,20,114,13,0.912,0.65,0.8758620689655172,200,all_uavs_neutralized,2026-02-22T12:57:10.437231,True,145,87433665.7952938,127
17,RL_Agent,613608295,252,128,124,0.49206349206349204,124220000.0,8820000.0,631606194.210767,835182745.3025025,94.6919212361114,124,22,115,13,0.9274193548387096,0.5909090909090909,0.8767123287671232,200,all_uavs_neutralized,2026-02-22T12:57:10.499648,True,146,79356551.09173548,128
