scenario_id,strategy_name,random_seed,swarm_size,uavs_destroyed,uavs_penetrated,penetration_rate,defense_cost,attack_cost,penetration_cost,total_cost,cost_exchange_ratio,kinetic_fired,de_fired,kinetic_hits,de_hits,kinetic_accuracy,de_accuracy,overall_accuracy,steps,termination_reason,timestamp,simulation_completed,total_shots_fired,miss_penalty_cost,total_hits
0,DE_First,1608637542,141,94,47,0.3333333333333333,1410000.0,4935000.0,213819427.22022936,429665530.7153219,87.06495049955865,0,141,0,94,,0.6666666666666666,0.6666666666666666,200,all_uavs_neutralized,2026-02-22T15:42:22.155558,True,141,214436103.4950925,94
1,DE_First,1273642419,96,62,34,0.3541666666666667,960000.0,3360000.0,164807639.12459895,334950419.6604103,99.68762489893163,0,96,0,62,,0.6458333333333334,0.6458333333333334,200,all_uavs_neutralized,2026-02-22T15:42:22.163254,True,96,169182780.5358113,62
2,DE_First,1935803228,136,86,50,0.36764705882352944,1360000.0,4760000.0,216114958.97174954,437989286.88046527,92.01455606732463,0,136,0,86,,0.6323529411764706,0.6323529411764706,200,all_uavs_neutralized,2026-02-22T15:42:22.171705,True,136,220514327.90871575,86
3,DE_First,787846414,82,57,25,0.3048780487804878,820000.0,2870000.0,132165544.98486625,259297237.2380855,90.34746942093572,0,82,0,57,,0.6951219512195121,0.6951219512195121,200,all_uavs_neutralized,2026-02-22T15:42:22.178673,True,82,126311692.25321925,57
4,DE_First,996406378,144,100,44,0.3055555555555556,1440000.0,5040000.0,216845697.55896026,406450903.1474941,80.64502046577263,0,144,0,100,,0.6944444444444444,0.6944444444444444,200,all_uavs_neutralized,2026-02-22T15:42:22.186552,True,144,188165205.5885338,100
5,DE_First,1201263687,135,89,46,0.34074074074074073,1350000.0,4725000.0,235561888.74768054,431424007.4437305,91.30666824205936,0,135,0,89,,0.6592592592592592,0.6592592592592592,200,all_uavs_neutralized,2026-02-22T15:42:22.194609,True,135,194512118.6960499,89
6,DE_First,423734972,62,46,16,0.25806451612903225,620000.0,2170000.0,68565278.96458457,143295770.95561257,66.0349174910657,0,62,0,46,,0.7419354838709677,0.7419354838709677,200,all_uavs_neutralized,2026-02-22T15:42:22.201005,True,62,74110491.991028,46
7,DE_First,415968276,96,71,25,0.2604166666666667,960000.0,3360000.0,107997249.21025738,209292904.4445753,62.289554894218846,0,96,0,71,,0.7395833333333334,0.7395833333333334,200,all_uavs_neutralized,2026-02-22T15:42:22.207787,True,96,100335655.23431794,71
8,DE_First,670094950,90,68,22,0.24444444444444444,900000.0,3150000.0,107631514.59880807,204408800.6862167,64.89168275752911,0,90,0,68,,0.7555555555555555,0.7555555555555555,200,all_uavs_neutralized,2026-02-22T15:42:22.215061,True,90,95877286.08740866,68
9,DE_First,1914837113,58,33,25,0.43103448275862066,580000.0,2030000.0,109890159.57027073,219945037.5844453,108.34730915489916,0,58,0,33,,0.5689655172413793,0.5689655172413793,200,all_uavs_neutralized,2026-02-22T15:42:22.222793,True,58,109474878.01417457,33
10,DE_First,669991378,68,47,21,0.3088235294117647,680000.0,2380000.0,102754984.63246322,213091792.28946024,89.53436650817657,0,68,0,47,,0.6911764705882353,0.6911764705882353,200,all_uavs_neutralized,2026-02-22T15:42:22.229566,True,68,109656807.65699703,47
11,DE_First,429389014,86,69,17,0.19767441860465115,860000.0,3010000.0,86206918.88344762,171783739.89406407,57.07100993158275,0,86,0,69,,0.8023255813953488,0.8023255813953488,200,all_uavs_neutralized,2026-02-22T15:42:22.237991,True,86,84716821.01061647,69
12,DE_First,249467210,133,96,37,0.2781954887218045,1330000.0,4655000.0,185578889.99503747,361551215.6471009,77.66943408100987,0,133,0,96,,0.7218045112781954,0.7218045112781954,200,all_uavs_neutralized,2026-02-22T15:42:22.245857,True,133,174642325.65206343,96
13,DE_First,1972458954,50,36,14,0.28,500000.0,1750000.0,68456896.03235038,136304591.33626744,77.88833790643854,0,50,0,36,,0.72,0.72,200,all_uavs_neutralized,2026-02-22T15:42:22.252119,True,50,67347695.30391707,36
14,DE_First,1572714583,66,53,13,0.19696969696969696,660000.0,2310000.0,61675160.91187844,134044879.5508234,58.028086385637835,0,66,0,53,,0.803030303030303,0.803030303030303,200,all_uavs_neutralized,2026-02-22T15:42:22.258557,True,66,71709718.63894497,53
15,DE_First,1433267572,74,44,30,0.40540540540540543,740000.0,2590000.0,158698761.86259535,306034549.43492365,118.16005769688172,0,74,0,44,,0.5945945945945946,0.5945945945945946,200,all_uavs_neutralized,2026-02-22T15:42:22.264786,True,74,146595787.57232827,44
16,DE_First,434285667,129,98,31,0.24031007751937986,1290000.0,4515000.0,113812988.72595064,289061297.5471119,64.02243578009123,0,129,0,98,,0.7596899224806202,0.7596899224806202,200,all_uavs_neutralized,2026-02-22T15:42:22.272889,True,129,173958308.82116127,98
17,DE_First,613608295,74,57,17,0.22972972972972974,740000.0,2590000.0,97771296.6467924,178976845.98719388,69.10302933868489,0,74,0,57,,0.7702702702702703,0.7702702702702703,200,all_uavs_neutralized,2026-02-22T15:42:22.279665,True,74,80465549.3404015,57
18,DE_First,893664919,121,85,36,0.2975206611570248,1210000.0,4235000.0,195416094.01911345,340846845.5747792,80.48331654658305,0,121,0,85,,0.7024793388429752,0.7024793388429752,200,all_uavs_neutralized,2026-02-22T15:42:22.287010,True,121,144220751.55566576,85
19,DE_First,648061058,143,98,45,0.3146853146853147,1430000.0,5005000.0,189856713.98069072,395066019.9064351,78.93426971157544,0,143,0,98,,0.6853146853146853,0.6853146853146853,200,all_uavs_neutralized,2026-02-22T15:42:22.295484,True,143,203779305.92574435,98
20,DE_First,88409749,103,69,34,0.3300970873786408,1030000.0,3605000.0,174500473.08923268,341055313.23212606,94.60618952347464,0,103,0,69,,0.6699029126213593,0.6699029126213593,200,all_uavs_neutralized,2026-02-22T15:42:22.302593,True,103,165524840.14289337,69
21,DE_First,242285876,126,89,37,0.29365079365079366,1260000.0,4410000.0,146975227.75112817,334293124.8124858,75.8034296626952,0,126,0,89,,0.7063492063492064,0.7063492063492064,200,all_uavs_neutralized,2026-02-22T15:42:22.310410,True,126,186057897.06135762,89
22,DE_First,2018247425,129,86,43,0.3333333333333333,1290000.0,4515000.0,212089727.35174638,414043859.46362925,91.70406632638522,0,129,0,86,,0.6666666666666666,0.6666666666666666,200,all_uavs_neutralized,2026-02-22T15:42:22.318927,True,129,200664132.11188287,86
23,DE_First,953477463,74,50,24,0.32432432432432434,740000.0,2590000.0,122596863.31371944,239805571.91010588,92.58902390351578,0,74,0,50,,0.6756756756756757,0.6756756756756757,200,all_uavs_neutralized,2026-02-22T15:42:22.325766,True,74,116468708.59638646,50
24,DE_First,1427830251,93,67,26,0.27956989247311825,930000.0,3255000.0,115212442.73932251,268673955.3341621,82.54192176164734,0,93,0,67,,0.7204301075268817,0.7204301075268817,200,all_uavs_neutralized,2026-02-22T15:42:22.332808,True,93,152531512.59483957,67
25,DE_First,1883569565,83,58,25,0.30120481927710846,830000.0,2905000.0,124899427.41204013,226450939.54902172,77.952130653708,0,83,0,58,,0.6987951807228916,0.6987951807228916,200,all_uavs_neutralized,2026-02-22T15:42:22.340265,True,83,100721512.1369816,58
26,DE_First,911989541,74,53,21,0.28378378378378377,740000.0,2590000.0,109089146.67179,206057394.3864414,79.55883953144456,0,74,0,53,,0.7162162162162162,0.7162162162162162,200,all_uavs_neutralized,2026-02-22T15:42:22.347371,True,74,96228247.7146514,53
27,DE_First,3344769,86,62,24,0.27906976744186046,860000.0,3010000.0,116620791.44433539,222669958.11216164,73.97673026982115,0,86,0,62,,0.7209302325581395,0.7209302325581395,200,all_uavs_neutralized,2026-02-22T15:42:22.354873,True,86,105189166.66782624,62
28,DE_First,780932287,77,49,28,0.36363636363636365,770000.0,2695000.0,115113226.51530042,276466701.9909226,102.58504712093603,0,77,0,49,,0.6363636363636364,0.6363636363636364,200,all_uavs_neutralized,2026-02-22T15:42:22.361891,True,77,160583475.47562215,49
29,DE_First,2114032571,111,77,34,0.3063063063063063,1110000.0,3885000.0,163156319.9772937,313701276.791684,80.74678939296885,0,111,0,77,,0.6936936936936937,0.6936936936936937,200,all_uavs_neutralized,2026-02-22T15:42:22.369858,True,111,149434956.81439027,77
30,DE_First,787716372,140,109,31,0.22142857142857142,1400000.0,4900000.0,151786110.76716116,308188420.6644978,62.89559605397914,0,140,0,109,,0.7785714285714286,0.7785714285714286,200,all_uavs_neutralized,2026-02-22T15:42:22.378264,True,140,155002309.89733663,109
31,DE_First,504579232,73,47,26,0.3561643835616438,730000.0,2555000.0,136972390.57076022,301654264.16428375,118.06429125803669,0,73,0,47,,0.6438356164383562,0.6438356164383562,200,all_uavs_neutralized,2026-02-22T15:42:22.384745,True,73,163951873.59352356,47
32,DE_First,1306710475,69,46,23,0.3333333333333333,690000.0,2415000.0,127757543.70258124,247993000.7249474,102.68861313662418,0,69,0,46,,0.6666666666666666,0.6666666666666666,200,all_uavs_neutralized,2026-02-22T15:42:22.391119,True,69,119545457.02236617,46
33,DE_First,479546681,54,37,17,0.3148148148148148,540000.0,1890000.0,85752416.54530396,174210150.51320207,92.17468281121803,0,54,0,37,,0.6851851851851852,0.6851851851851852,200,all_uavs_neutralized,2026-02-22T15:42:22.397560,True,54,87917733.96789813,37
34,DE_First,106328085,111,76,35,0.3153153153153153,1110000.0,3885000.0,165721980.23828208,343366611.8278959,88.38265426715466,0,111,0,76,,0.6846846846846847,0.6846846846846847,200,all_uavs_neutralized,2026-02-22T15:42:22.405340,True,111,176534631.58961377,76
35,DE_First,30349564,75,54,21,0.28,750000.0,2625000.0,104491139.50264265,213968017.49954364,81.51162571411186,0,75,0,54,,0.72,0.72,200,all_uavs_neutralized,2026-02-22T15:42:22.412941,True,75,108726877.99690099,54
36,DE_First,1855189739,106,76,30,0.2830188679245283,1060000.0,3710000.0,133070437.89468397,291696637.73157793,78.62443065541184,0,106,0,76,,0.7169811320754716,0.7169811320754716,200,all_uavs_neutralized,2026-02-22T15:42:22.420417,True,106,157566199.83689395,76
37,DE_First,99052376,89,65,24,0.2696629213483146,890000.0,3115000.0,98276781.63504948,204695304.9864015,65.71277848680626,0,89,0,65,,0.7303370786516854,0.7303370786516854,200,all_uavs_neutralized,2026-02-22T15:42:22.427992,True,89,105528523.35135204,65
38,DE_First,1250819632,58,38,20,0.3448275862068966,580000.0,2030000.0,82604626.51909623,172227474.79445422,84.8411205884011,0,58,0,38,,0.6551724137931034,0.6551724137931034,200,all_uavs_neutralized,2026-02-22T15:42:22.434471,True,58,89042848.27535799,38
39,DE_First,106406362,125,82,43,0.344,1250000.0,4375000.0,192000389.91335598,400164290.7308554,91.4661235956241,0,125,0,82,,0.656,0.656,200,all_uavs_neutralized,2026-02-22T15:42:22.442993,True,125,206913900.81749943,82
40,DE_First,480404538,141,96,45,0.3191489361702128,1410000.0,4935000.0,197376585.24498162,422578879.1755524,85.62895221389107,0,141,0,96,,0.6808510638297872,0.6808510638297872,200,all_uavs_neutralized,2026-02-22T15:42:22.451450,True,141,223792293.9305708,96
41,DE_First,1717389822,121,89,32,0.2644628099173554,1210000.0,4235000.0,109345755.99107222,277465746.0265504,65.51729540178286,0,121,0,89,,0.7355371900826446,0.7355371900826446,200,all_uavs_neutralized,2026-02-22T15:42:22.459330,True,121,166909990.03547817,89
42,DE_First,599121577,120,87,33,0.275,1200000.0,4200000.0,200306076.57891732,322974220.80053824,76.89862400012815,0,120,0,87,,0.725,0.725,200,all_uavs_neutralized,2026-02-22T15:42:22.466799,True,120,121468144.2216209,87
43,DE_First,200427519,68,46,22,0.3235294117647059,680000.0,2380000.0,106852898.70863625,195574726.56221068,82.17425485807172,0,68,0,46,,0.6764705882352942,0.6764705882352942,200,all_uavs_neutralized,2026-02-22T15:42:22.473637,True,68,88041827.85357444,46
44,DE_First,1254751707,88,63,25,0.2840909090909091,880000.0,3080000.0,128092997.10612547,239975375.17795315,77.9140828499848,0,88,0,63,,0.7159090909090909,0.7159090909090909,200,all_uavs_neutralized,2026-02-22T15:42:22.480742,True,88,111002378.07182768,63
45,DE_First,2034764475,110,71,39,0.35454545454545455,1100000.0,3850000.0,195580904.32387882,354134128.12061286,91.9828904209384,0,110,0,71,,0.6454545454545455,0.6454545454545455,200,all_uavs_neutralized,2026-02-22T15:42:22.488671,True,110,157453223.79673406,71
46,DE_First,1573512143,128,87,41,0.3203125,1280000.0,4480000.0,219303035.7956473,417450825.2152368,93.18098777125822,0,128,0,87,,0.6796875,0.6796875,200,all_uavs_neutralized,2026-02-22T15:42:22.496434,True,128,196867789.41958946,87
47,DE_First,999745294,126,78,48,0.38095238095238093,1260000.0,4410000.0,229908536.0723693,481174806.0361676,109.10993334153461,0,126,0,78,,0.6190476190476191,0.6190476190476191,200,all_uavs_neutralized,2026-02-22T15:42:22.504242,True,126,250006269.9637983,78
48,DE_First,1958805693,147,97,50,0.3401360544217687,1470000.0,5145000.0,227458568.91251343,438190959.5407234,85.16831089226888,0,147,0,97,,0.6598639455782312,0.6598639455782312,200,all_uavs_neutralized,2026-02-22T15:42:22.513152,True,147,209262390.62820995,97
49,DE_First,389151677,108,79,29,0.26851851851851855,1080000.0,3780000.0,130870570.52738497,261796585.34407812,69.25835591113177,0,108,0,79,,0.7314814814814815,0.7314814814814815,200,all_uavs_neutralized,2026-02-22T15:42:22.521134,True,108,129846014.81669314,79
50,DE_First,1224821422,88,64,24,0.2727272727272727,880000.0,3080000.0,100655983.2464882,241471296.85297513,78.39977170551141,0,88,0,64,,0.7272727272727273,0.7272727272727273,200,all_uavs_neutralized,2026-02-22T15:42:22.528301,True,88,139935313.60648692,64
51,DE_First,508464061,120,80,40,0.3333333333333333,1200000.0,4200000.0,160241142.90743905,330017752.4264074,78.57565533962081,0,120,0,80,,0.6666666666666666,0.6666666666666666,200,all_uavs_neutralized,2026-02-22T15:42:22.536476,True,120,168576609.51896834,80
52,DE_First,857592370,67,45,22,0.3283582089552239,670000.0,2345000.0,130349373.076493,230649957.40886605,98.3581907926934,0,67,0,45,,0.6716417910447762,0.6716417910447762,200,all_uavs_neutralized,2026-02-22T15:42:22.543341,True,67,99630584.33237307,45
53,DE_First,1642661739,141,92,49,0.3475177304964539,1410000.0,4935000.0,215792412.02151516,463384631.2062136,93.8975949759298,0,141,0,92,,0.6524822695035462,0.6524822695035462,200,all_uavs_neutralized,2026-02-22T15:42:22.551526,True,141,246182219.18469843,92
54,DE_First,61136438,133,88,45,0.3383458646616541,1330000.0,4655000.0,217960005.1926395,429528529.11936307,92.2725089407869,0,133,0,88,,0.6616541353383458,0.6616541353383458,200,all_uavs_neutralized,2026-02-22T15:42:22.559677,True,133,210238523.92672357,88
55,DE_First,2075460851,63,44,19,0.30158730158730157,630000.0,2205000.0,86453918.9073336,164186300.12924454,74.46090708809275,0,63,0,44,,0.6984126984126984,0.6984126984126984,200,all_uavs_neutralized,2026-02-22T15:42:22.565797,True,63,77102381.22191094,44
56,DE_First,396917567,126,91,35,0.2777777777777778,1260000.0,4410000.0,206513584.9191153,376536406.5147637,85.3824051053886,0,126,0,91,,0.7222222222222222,0.7222222222222222,200,all_uavs_neutralized,2026-02-22T15:42:22.573544,True,126,168762821.59564844,91
57,DE_First,2004731384,138,94,44,0.3188405797101449,1380000.0,4830000.0,206443169.128363,395599088.1387139,81.90457311360537,0,138,0,94,,0.6811594202898551,0.6811594202898551,200,all_uavs_neutralized,2026-02-22T15:42:22.581734,True,138,187775919.01035088,94
58,DE_First,199502978,72,48,24,0.3333333333333333,720000.0,2520000.0,119624705.80936588,219669146.75801897,87.17029633254721,0,72,0,48,,0.6666666666666666,0.6666666666666666,200,all_uavs_neutralized,2026-02-22T15:42:22.589003,True,72,99324440.94865309,48
59,DE_First,1545932260,115,77,38,0.33043478260869563,1150000.0,4025000.0,167589463.420143,358125356.31622237,88.97524380527264,0,115,0,77,,0.6695652173913044,0.6695652173913044,200,all_uavs_neutralized,2026-02-22T15:42:22.596609,True,115,189385892.89607936,77
60,DE_First,461901618,120,84,36,0.3,1200000.0,4200000.0,194139991.2394157,343572867.6682568,81.80306373053733,0,120,0,84,,0.7,0.7,200,all_uavs_neutralized,2026-02-22T15:42:22.604223,True,120,148232876.4288411,84
61,DE_First,774414982,120,82,38,0.31666666666666665,1200000.0,4200000.0,168713313.76156434,361238685.9483379,86.00921094008045,0,120,0,82,,0.6833333333333333,0.6833333333333333,200,all_uavs_neutralized,2026-02-22T15:42:22.612469,True,120,191325372.18677354,82
62,DE_First,732395540,101,72,29,0.2871287128712871,1010000.0,3535000.0,123479461.86224382,285766576.30747557,80.83920121852208,0,101,0,72,,0.7128712871287128,0.7128712871287128,200,all_uavs_neutralized,2026-02-22T15:42:22.619695,True,101,161277114.44523177,72
63,DE_First,1934879560,53,36,17,0.32075471698113206,530000.0,1855000.0,91317320.42035963,164078618.21243516,88.45208528972246,0,53,0,36,,0.6792452830188679,0.6792452830188679,200,all_uavs_neutralized,2026-02-22T15:42:22.626137,True,53,72231297.79207553,36
64,DE_First,279394470,86,60,26,0.3023255813953488,860000.0,3010000.0,122801591.79596438,236945050.02774662,78.71928572350386,0,86,0,60,,0.6976744186046512,0.6976744186046512,200,all_uavs_neutralized,2026-02-22T15:42:22.633028,True,86,113283458.23178226,60
65,DE_First,56972561,97,70,27,0.27835051546391754,970000.0,3395000.0,128548548.2781775,253791786.31552777,74.75457623432335,0,97,0,70,,0.7216494845360825,0.7216494845360825,200,all_uavs_neutralized,2026-02-22T15:42:22.640439,True,97,124273238.03735027,70
