scenario_id,strategy_name,random_seed,swarm_size,uavs_destroyed,uavs_penetrated,penetration_rate,defense_cost,attack_cost,penetration_cost,total_cost,cost_exchange_ratio,kinetic_fired,de_fired,kinetic_hits,de_hits,kinetic_accuracy,de_accuracy,overall_accuracy,steps,termination_reason,timestamp,simulation_completed,total_shots_fired,miss_penalty_cost,total_hits
0,Kinetic_First,1608637542,141,128,13,0.09219858156028368,200000000.0,4935000.0,55575209.696407385,305608138.6152239,61.92667449143341,200,0,184,0,0.92,,0.92,200,all_uavs_neutralized,2026-02-22T14:08:14.153173,True,200,50032928.918816485,184
1,Kinetic_First,1273642419,96,89,7,0.07291666666666667,200000000.0,3360000.0,23715659.847286634,250290490.54032856,74.49121742271683,200,0,183,0,0.915,,0.915,200,all_uavs_neutralized,2026-02-22T14:08:14.160676,True,200,26574830.69304193,183
2,Kinetic_First,1935803228,136,124,12,0.08823529411764706,200000000.0,4760000.0,46136014.03523471,303637593.50897676,63.78941040104554,200,0,177,0,0.885,,0.885,200,all_uavs_neutralized,2026-02-22T14:08:14.173155,True,200,57501579.47374204,177
3,Kinetic_First,787846414,82,77,5,0.06097560975609756,200000000.0,2870000.0,43068559.24192357,268503225.3684722,93.55513079040844,200,0,186,0,0.93,,0.93,200,all_uavs_neutralized,2026-02-22T14:08:14.186900,True,200,25434666.12654867,186
4,Kinetic_First,996406378,144,131,13,0.09027777777777778,200000000.0,5040000.0,81778488.45670831,339916543.13563985,67.4437585586587,200,0,182,0,0.91,,0.91,200,all_uavs_neutralized,2026-02-22T14:08:14.200948,True,200,58138054.678931534,182
5,Kinetic_First,1201263687,135,124,11,0.08148148148148149,200000000.0,4725000.0,54902132.72945138,289451671.8465616,61.259613089219386,200,0,185,0,0.925,,0.925,200,all_uavs_neutralized,2026-02-22T14:08:14.215486,True,200,34549539.1171102,185
6,Kinetic_First,423734972,62,51,11,0.1774193548387097,200000000.0,2170000.0,54237382.7508424,305008990.7511786,140.55713859501319,200,0,174,0,0.87,,0.87,200,all_uavs_neutralized,2026-02-22T14:08:14.223127,True,200,50771608.0003362,174
7,Kinetic_First,415968276,96,86,10,0.10416666666666667,200000000.0,3360000.0,42503966.418175384,275376620.7504539,81.95732760430175,200,0,181,0,0.905,,0.905,200,all_uavs_neutralized,2026-02-22T14:08:14.232576,True,200,32872654.332278505,181
8,Kinetic_First,670094950,90,83,7,0.07777777777777778,200000000.0,3150000.0,45624156.8293029,276933515.7809371,87.91540183521812,200,0,187,0,0.935,,0.935,200,all_uavs_neutralized,2026-02-22T14:08:14.247645,True,200,31309358.951634184,187
9,Kinetic_First,1914837113,58,51,7,0.1206896551724138,200000000.0,2030000.0,30396352.53776817,262285892.19149062,129.2048730007343,200,0,178,0,0.89,,0.89,200,all_uavs_neutralized,2026-02-22T14:08:14.261446,True,200,31889539.653722435,178
10,Kinetic_First,669991378,68,59,9,0.1323529411764706,200000000.0,2380000.0,54435892.75246682,292981620.06522655,123.10152103580948,200,0,177,0,0.885,,0.885,200,all_uavs_neutralized,2026-02-22T14:08:14.275829,True,200,38545727.3127597,177
11,Kinetic_First,429389014,86,80,6,0.06976744186046512,200000000.0,3010000.0,26863735.87526341,268097449.33208874,89.0689200438833,200,0,182,0,0.91,,0.91,200,all_uavs_neutralized,2026-02-22T14:08:14.289833,True,200,41233713.45682531,182
12,Kinetic_First,249467210,133,122,11,0.08270676691729323,200000000.0,4655000.0,55433452.14036378,316575825.9277003,68.00769622506988,200,0,178,0,0.89,,0.89,200,all_uavs_neutralized,2026-02-22T14:08:14.299981,True,200,61142373.7873365,178
13,Kinetic_First,1972458954,50,42,8,0.16,200000000.0,1750000.0,51540662.40955152,287474297.1320907,164.27102693262324,200,0,175,0,0.875,,0.875,200,all_uavs_neutralized,2026-02-22T14:08:14.312646,True,200,35933634.72253914,175
14,Kinetic_First,1572714583,66,57,9,0.13636363636363635,200000000.0,2310000.0,49746607.543284595,301417679.60150254,130.48384398333442,200,0,183,0,0.915,,0.915,200,all_uavs_neutralized,2026-02-22T14:08:14.325470,True,200,51671072.05821794,183
15,Kinetic_First,1433267572,74,66,8,0.10810810810810811,200000000.0,2590000.0,50469635.90277071,287774267.2431502,111.10975569233598,200,0,179,0,0.895,,0.895,200,all_uavs_neutralized,2026-02-22T14:08:14.339161,True,200,37304631.340379454,179
16,Kinetic_First,434285667,129,118,11,0.08527131782945736,200000000.0,4515000.0,62629757.20980007,322559803.65377074,71.44181697757935,200,0,183,0,0.915,,0.915,200,all_uavs_neutralized,2026-02-22T14:08:14.349120,True,200,59930046.44397068,183
17,Kinetic_First,613608295,74,68,6,0.08108108108108109,200000000.0,2590000.0,26113311.052502014,251239991.92833075,97.00385788738639,200,0,178,0,0.89,,0.89,200,all_uavs_neutralized,2026-02-22T14:08:14.355696,True,200,25126680.875828754,178
18,Kinetic_First,893664919,121,111,10,0.08264462809917356,200000000.0,4235000.0,48321316.7924403,296408309.371003,69.99015569563234,200,0,182,0,0.91,,0.91,200,all_uavs_neutralized,2026-02-22T14:08:14.363863,True,200,48086992.57856267,182
19,Kinetic_First,648061058,143,129,14,0.0979020979020979,200000000.0,5005000.0,58553035.20496333,311292505.07864267,62.19630471101752,200,0,181,0,0.905,,0.905,200,all_uavs_neutralized,2026-02-22T14:08:14.371706,True,200,52739469.873679355,181
20,Kinetic_First,88409749,103,97,6,0.05825242718446602,200000000.0,3605000.0,50141745.2428134,271206162.4882743,75.23055824917455,200,0,182,0,0.91,,0.91,200,all_uavs_neutralized,2026-02-22T14:08:14.379166,True,200,21064417.24546088,182
21,Kinetic_First,242285876,126,118,8,0.06349206349206349,200000000.0,4410000.0,43344317.59415471,271619609.1214867,61.591748100110365,200,0,184,0,0.92,,0.92,200,all_uavs_neutralized,2026-02-22T14:08:14.386891,True,200,28275291.52733203,184
22,Kinetic_First,2018247425,129,111,18,0.13953488372093023,200000000.0,4515000.0,97407100.10245168,373335375.0011242,82.68779069792342,200,0,173,0,0.865,,0.865,200,all_uavs_neutralized,2026-02-22T14:08:14.394212,True,200,75928274.8986725,173
23,Kinetic_First,953477463,74,68,6,0.08108108108108109,200000000.0,2590000.0,23734076.025450706,263680473.7962569,101.80713273986753,200,0,180,0,0.9,,0.9,200,all_uavs_neutralized,2026-02-22T14:08:14.402585,True,200,39946397.770806186,180
24,Kinetic_First,1427830251,93,87,6,0.06451612903225806,200000000.0,3255000.0,24589049.604678046,254515013.58565712,78.19201646256747,200,0,185,0,0.925,,0.925,200,all_uavs_neutralized,2026-02-22T14:08:14.409176,True,200,29925963.9809791,185
25,Kinetic_First,1883569565,83,71,12,0.14457831325301204,200000000.0,2905000.0,50976398.963552594,303546186.9969301,104.49094216761794,200,0,178,0,0.89,,0.89,200,all_uavs_neutralized,2026-02-22T14:08:14.417042,True,200,52569788.033377536,178
26,Kinetic_First,911989541,74,67,7,0.0945945945945946,200000000.0,2590000.0,42117245.961855195,269829171.12449545,104.18114715231485,200,0,175,0,0.875,,0.875,200,all_uavs_neutralized,2026-02-22T14:08:14.423546,True,200,27711925.162640247,175
27,Kinetic_First,3344769,86,82,4,0.046511627906976744,200000000.0,3010000.0,14000514.797942344,232058157.3986328,77.0957333550275,200,0,182,0,0.91,,0.91,200,all_uavs_neutralized,2026-02-22T14:08:14.431737,True,200,18057642.60069045,182
28,Kinetic_First,780932287,77,61,16,0.2077922077922078,200000000.0,2695000.0,62616332.18562792,357714979.5755733,132.73283101134447,200,0,180,0,0.9,,0.9,200,all_uavs_neutralized,2026-02-22T14:08:14.438481,True,200,95098647.38994542,180
29,Kinetic_First,2114032571,111,101,10,0.09009009009009009,200000000.0,3885000.0,41551200.733544484,288311866.9574227,74.21154876638936,200,0,184,0,0.92,,0.92,200,all_uavs_neutralized,2026-02-22T14:08:14.446172,True,200,46760666.223878205,184
