Evaluation Summary - 100 scenarios
================================================================================

Metric                    Strategy                   Mean             Std
--------------------------------------------------------------------------------
penetration_rate          Kinetic-First            10.34%           3.11%
penetration_rate          DE-First                 30.48%           4.75%
penetration_rate          RL-Agent                 30.48%           4.75%

cost_exchange_ratio       Kinetic-First             65.39           19.54
cost_exchange_ratio       DE-First                  24.79            5.16
cost_exchange_ratio       RL-Agent                   9.18            1.36

defense_cost              Kinetic-First   $200,000,000.00 $          0.00
defense_cost              DE-First        $ 51,500,000.00 $          0.00
defense_cost              RL-Agent        $  1,500,000.00 $          0.00

total_cost                Kinetic-First   $210,260,000.00 $  4,044,250.19
total_cost                DE-First        $ 81,970,000.00 $  9,827,250.30
total_cost                RL-Agent        $ 31,970,000.00 $  9,827,250.30

uavs_destroyed            Kinetic-First             89.64           25.71
uavs_destroyed            DE-First                  69.43           20.07
uavs_destroyed            RL-Agent                  69.43           20.07

total_shots_fired         Kinetic-First            200.00            0.00
total_shots_fired         DE-First                 200.00            0.00
total_shots_fired         RL-Agent                 150.00            0.00

