scenario_id,strategy_name,random_seed,swarm_size,uavs_destroyed,uavs_penetrated,penetration_rate,defense_cost,attack_cost,penetration_cost,total_cost,cost_exchange_ratio,kinetic_fired,de_fired,kinetic_hits,de_hits,kinetic_accuracy,de_accuracy,overall_accuracy,steps,termination_reason,timestamp,simulation_completed,total_shots_fired,total_hits
0,RL_Agent,1608637542,141,66,75,0.5319148936170213,2000000.0,4935000.0,75000000.0,77000000.0,15.602836879432624,1,100,1,65,1.0,0.65,0.6534653465346535,200,all_uavs_neutralized,2026-02-23T22:46:11.405721,True,101,66
1,RL_Agent,1273642419,274,77,197,0.718978102189781,1000000.0,9590000.0,197000000.0,198000000.0,20.646506777893638,0,100,0,77,,0.77,0.77,200,all_uavs_neutralized,2026-02-23T22:46:11.483574,True,100,77
2,RL_Agent,1935803228,442,64,378,0.8552036199095022,2000000.0,15470000.0,378000000.0,380000000.0,24.563671622495153,1,100,1,63,1.0,0.63,0.6336633663366337,200,all_uavs_neutralized,2026-02-23T22:46:11.577090,True,101,64
3,RL_Agent,787846414,388,67,321,0.8273195876288659,1000000.0,13580000.0,321000000.0,322000000.0,23.711340206185568,0,100,0,67,,0.67,0.67,200,all_uavs_neutralized,2026-02-23T22:46:11.656005,True,100,67
4,RL_Agent,996406378,337,71,266,0.7893175074183977,3000000.0,11795000.0,266000000.0,269000000.0,22.806273844849514,2,100,2,69,1.0,0.69,0.696078431372549,200,all_uavs_neutralized,2026-02-23T22:46:11.750897,True,102,71
5,RL_Agent,1201263687,313,72,241,0.7699680511182109,1000000.0,10955000.0,241000000.0,242000000.0,22.09036969420356,0,100,0,72,,0.72,0.72,200,all_uavs_neutralized,2026-02-23T22:46:11.839178,True,100,72
6,RL_Agent,423734972,240,62,178,0.7416666666666667,1000000.0,8400000.0,178000000.0,179000000.0,21.30952380952381,0,100,0,62,,0.62,0.62,200,all_uavs_neutralized,2026-02-23T22:46:11.924028,True,100,62
7,RL_Agent,415968276,111,71,40,0.36036036036036034,2000000.0,3885000.0,40000000.0,42000000.0,10.81081081081081,1,100,1,70,1.0,0.7,0.7029702970297029,200,all_uavs_neutralized,2026-02-23T22:46:12.011857,True,101,71
8,RL_Agent,670094950,268,71,197,0.7350746268656716,1000000.0,9380000.0,197000000.0,198000000.0,21.108742004264393,0,100,0,71,,0.71,0.71,200,all_uavs_neutralized,2026-02-23T22:46:12.105130,True,100,71
9,RL_Agent,1914837113,236,74,162,0.6864406779661016,2000000.0,8260000.0,162000000.0,164000000.0,19.854721549636803,1,100,1,73,1.0,0.73,0.7326732673267327,200,all_uavs_neutralized,2026-02-23T22:46:12.202210,True,101,74
10,RL_Agent,669991378,215,75,140,0.6511627906976745,1000000.0,7525000.0,140000000.0,141000000.0,18.737541528239202,0,100,0,75,,0.75,0.75,200,all_uavs_neutralized,2026-02-23T22:46:12.290572,True,100,75
11,RL_Agent,429389014,264,75,189,0.7159090909090909,2000000.0,9240000.0,189000000.0,191000000.0,20.67099567099567,1,100,1,74,1.0,0.74,0.7425742574257426,200,all_uavs_neutralized,2026-02-23T22:46:12.374580,True,101,75
12,RL_Agent,249467210,141,71,70,0.49645390070921985,2000000.0,4935000.0,70000000.0,72000000.0,14.589665653495441,1,100,1,70,1.0,0.7,0.7029702970297029,200,all_uavs_neutralized,2026-02-23T22:46:12.466661,True,101,71
13,RL_Agent,1972458954,356,69,287,0.8061797752808989,2000000.0,12460000.0,287000000.0,289000000.0,23.19422150882825,1,100,1,68,1.0,0.68,0.6831683168316832,200,all_uavs_neutralized,2026-02-23T22:46:12.548939,True,101,69
14,RL_Agent,1572714583,500,80,420,0.84,3000000.0,17500000.0,420000000.0,423000000.0,24.17142857142857,2,100,2,78,1.0,0.78,0.7843137254901961,200,all_uavs_neutralized,2026-02-23T22:46:12.636705,True,102,80
15,RL_Agent,1433267572,252,67,185,0.7341269841269841,1000000.0,8820000.0,185000000.0,186000000.0,21.08843537414966,0,100,0,67,,0.67,0.67,200,all_uavs_neutralized,2026-02-23T22:46:12.731065,True,100,67
16,RL_Agent,434285667,307,65,242,0.7882736156351792,1000000.0,10745000.0,242000000.0,243000000.0,22.615169846440203,0,100,0,65,,0.65,0.65,200,all_uavs_neutralized,2026-02-23T22:46:12.832185,True,100,65
17,RL_Agent,613608295,252,61,191,0.7579365079365079,2000000.0,8820000.0,191000000.0,193000000.0,21.882086167800452,1,100,1,60,1.0,0.6,0.6039603960396039,200,all_uavs_neutralized,2026-02-23T22:46:12.910805,True,101,61
18,RL_Agent,893664919,171,68,103,0.6023391812865497,1000000.0,5985000.0,103000000.0,104000000.0,17.376775271512113,0,100,0,68,,0.68,0.68,200,all_uavs_neutralized,2026-02-23T22:46:13.001855,True,100,68
19,RL_Agent,648061058,460,72,388,0.8434782608695652,1000000.0,16100000.0,388000000.0,389000000.0,24.161490683229815,0,100,0,72,,0.72,0.72,200,all_uavs_neutralized,2026-02-23T22:46:13.094261,True,100,72
20,RL_Agent,88409749,153,71,82,0.5359477124183006,1000000.0,5355000.0,82000000.0,83000000.0,15.49953314659197,0,100,0,71,,0.71,0.71,200,all_uavs_neutralized,2026-02-23T22:46:13.176112,True,100,71
21,RL_Agent,242285876,304,73,231,0.7598684210526315,1000000.0,10640000.0,231000000.0,232000000.0,21.804511278195488,0,100,0,73,,0.73,0.73,200,all_uavs_neutralized,2026-02-23T22:46:13.241614,True,100,73
22,RL_Agent,2018247425,307,68,239,0.7785016286644951,1000000.0,10745000.0,239000000.0,240000000.0,22.335970218706375,0,100,0,68,,0.68,0.68,200,all_uavs_neutralized,2026-02-23T22:46:13.318478,True,100,68
23,RL_Agent,953477463,380,69,311,0.8184210526315789,2000000.0,13300000.0,311000000.0,313000000.0,23.533834586466167,1,100,1,68,1.0,0.68,0.6831683168316832,200,all_uavs_neutralized,2026-02-23T22:46:13.404825,True,101,69
24,RL_Agent,1427830251,271,72,199,0.7343173431734318,1000000.0,9485000.0,199000000.0,200000000.0,21.085925144965735,0,100,0,72,,0.72,0.72,200,all_uavs_neutralized,2026-02-23T22:46:13.509713,True,100,72
25,RL_Agent,1883569565,216,65,151,0.6990740740740741,2000000.0,7560000.0,151000000.0,153000000.0,20.238095238095237,1,100,1,64,1.0,0.64,0.6435643564356436,200,all_uavs_neutralized,2026-02-23T22:46:13.597380,True,101,65
26,RL_Agent,911989541,348,72,276,0.7931034482758621,1000000.0,12180000.0,276000000.0,277000000.0,22.742200328407225,0,100,0,72,,0.72,0.72,200,all_uavs_neutralized,2026-02-23T22:46:13.677976,True,100,72
27,RL_Agent,3344769,275,70,205,0.7454545454545455,2000000.0,9625000.0,205000000.0,207000000.0,21.506493506493506,1,100,1,69,1.0,0.69,0.693069306930693,200,all_uavs_neutralized,2026-02-23T22:46:13.768448,True,101,70
28,RL_Agent,780932287,166,70,96,0.5783132530120482,1000000.0,5810000.0,96000000.0,97000000.0,16.695352839931154,0,100,0,70,,0.7,0.7,200,all_uavs_neutralized,2026-02-23T22:46:13.857321,True,100,70
29,RL_Agent,2114032571,417,73,344,0.8249400479616307,1000000.0,14595000.0,344000000.0,345000000.0,23.638232271325798,0,100,0,73,,0.73,0.73,200,all_uavs_neutralized,2026-02-23T22:46:13.944324,True,100,73
30,RL_Agent,787716372,215,75,140,0.6511627906976745,1000000.0,7525000.0,140000000.0,141000000.0,18.737541528239202,0,100,0,75,,0.75,0.75,200,all_uavs_neutralized,2026-02-23T22:46:14.032273,True,100,75
31,RL_Agent,504579232,123,74,49,0.3983739837398374,1000000.0,4305000.0,49000000.0,50000000.0,11.614401858304298,0,100,0,74,,0.74,0.74,200,all_uavs_neutralized,2026-02-23T22:46:14.116193,True,100,74
32,RL_Agent,1306710475,247,74,173,0.7004048582995951,1000000.0,8645000.0,173000000.0,174000000.0,20.127241179872758,0,100,0,74,,0.74,0.74,200,all_uavs_neutralized,2026-02-23T22:46:14.204684,True,100,74
33,RL_Agent,479546681,360,74,286,0.7944444444444444,2000000.0,12600000.0,286000000.0,288000000.0,22.857142857142858,1,100,1,73,1.0,0.73,0.7326732673267327,200,all_uavs_neutralized,2026-02-23T22:46:14.298057,True,101,74
34,RL_Agent,106328085,161,68,93,0.577639751552795,2000000.0,5635000.0,93000000.0,95000000.0,16.858917480035494,1,100,1,67,1.0,0.67,0.6732673267326733,200,all_uavs_neutralized,2026-02-23T22:46:14.381778,True,101,68
35,RL_Agent,30349564,342,72,270,0.7894736842105263,1000000.0,11970000.0,270000000.0,271000000.0,22.639933166248955,0,100,0,72,,0.72,0.72,200,all_uavs_neutralized,2026-02-23T22:46:14.471423,True,100,72
36,RL_Agent,1855189739,472,76,396,0.8389830508474576,1000000.0,16520000.0,396000000.0,397000000.0,24.031476997578693,0,100,0,76,,0.76,0.76,200,all_uavs_neutralized,2026-02-23T22:46:14.557550,True,100,76
37,RL_Agent,99052376,461,78,383,0.8308026030368764,3000000.0,16135000.0,383000000.0,386000000.0,23.92314843507902,2,100,2,76,1.0,0.76,0.7647058823529411,200,all_uavs_neutralized,2026-02-23T22:46:14.648163,True,102,78
38,RL_Agent,1250819632,204,69,135,0.6617647058823529,2000000.0,7140000.0,135000000.0,137000000.0,19.18767507002801,1,100,1,68,1.0,0.68,0.6831683168316832,200,all_uavs_neutralized,2026-02-23T22:46:14.755708,True,101,69
39,RL_Agent,106406362,467,63,404,0.8650963597430407,2000000.0,16345000.0,404000000.0,406000000.0,24.839400428265524,1,100,1,62,1.0,0.62,0.6237623762376238,200,all_uavs_neutralized,2026-02-23T22:46:14.852356,True,101,63
40,RL_Agent,480404538,447,57,390,0.87248322147651,1000000.0,15645000.0,390000000.0,391000000.0,24.992010226909557,0,100,0,57,,0.57,0.57,200,all_uavs_neutralized,2026-02-23T22:46:14.940766,True,100,57
