n_drones,num_units,missiles_per_unit_avg,priority_strategy,weather_factor,terrain_factor,radar_jam,comm_jam_level,temp_factor,system_latency,resource_failure,formation,num_detected,detection_rate,num_intercepted,num_passed,success_rate,civil_risk,missiles_used
112,5,10.0,most_threat,0.8092338898327138,0.75,0.06315336214154425,0.09193502982412396,0.8829086370000473,0.369170259074066,0,tight,72,0.6428571428571429,34,78,0.30357142857142855,0.5273013250672587,52
163,5,10.0,most_threat,0.8660223956026525,0.75,0.049523908230070156,0.24218116898850317,0.9132795960302348,1.42427409176121,0,tight,102,0.6257668711656442,34,129,0.2085889570552147,0.5840515191535834,52
99,5,10.0,most_threat,0.9400530938740147,0.75,0.0587100465147741,0.3666868336635478,0.9228473620452313,0.9979358884415861,0,tight,75,0.7575757575757576,35,64,0.35353535353535354,0.48269582986933685,45
94,5,10.0,most_threat,0.8705557512219639,0.75,0.02683502652526803,0.32870851095614967,0.9465994709538627,1.7655633992529935,0,tight,57,0.6063829787234043,30,64,0.3191489361702128,0.520048341803323,44
193,5,10.0,most_threat,0.8360465689377883,0.75,0.1487437339372486,0.5215999706981099,0.8157077786857856,0.9882514822825412,0,tight,112,0.5803108808290155,36,157,0.18652849740932642,0.6009792756204932,61
11,5,10.0,most_threat,0.7390662683035466,0.75,0.019070599814437938,0.2348744709974848,0.9190224085819548,1.4624276399925622,0,medium,7,0.6363636363636364,4,7,0.36363636363636365,0.4467123952118499,7
168,5,10.0,most_threat,0.9719939132536539,0.75,0.0665240125338232,0.30379260475333775,0.94147896578783,0.8226924977630008,0,spread,140,0.8333333333333334,24,144,0.14285714285714285,0.6370128486884857,33
73,5,10.0,most_threat,0.6999424440643338,0.75,0.09127912638235336,0.5131050571999592,0.9295220288140048,1.0231123930386243,0,tight,42,0.5753424657534246,28,45,0.3835616438356164,0.4456133139047204,42
19,5,10.0,most_threat,0.9677108844730928,0.75,0.02391366471574004,0.0943207400110563,0.9488231955036512,1.178697153010969,0,medium,14,0.7368421052631579,10,9,0.5263157894736842,0.31821237508279954,14
46,5,10.0,most_threat,0.9058598446361429,0.75,0.029700651090738037,0.709098498886672,0.9000766328960028,1.6091174289372603,0,spread,39,0.8478260869565217,30,16,0.6521739130434783,0.2560349999667671,39
15,5,10.0,most_threat,0.7746890232622666,0.75,0.050873931062240384,0.061899690203227505,0.8867187481218771,1.9972957698684415,0,spread,9,0.6,7,8,0.4666666666666667,0.39649271478554443,9
60,5,10.0,most_threat,0.8465174224741187,0.75,0.05147749869382247,0.14401126379769022,0.8440444069518372,1.6994814562907505,0,medium,39,0.65,30,30,0.5,0.367356562335808,39
167,5,10.0,most_threat,0.804585569731007,0.75,0.07802370149347271,0.27790587812061807,0.9783507268888123,1.2088056634217412,0,medium,103,0.6167664670658682,33,134,0.19760479041916168,0.6037731932942519,45
91,5,10.0,most_threat,0.9878361345818403,0.75,0.010248959279573028,0.06291789436812846,0.9794109099322823,0.09666427957798218,0,tight,59,0.6483516483516484,39,52,0.42857142857142855,0.4344060836385185,56
114,5,10.0,most_threat,0.7844809888528544,0.75,0.07240169552699177,0.2925852368050355,0.8996415280594585,1.5195722424008093,0,medium,67,0.5877192982456141,28,86,0.24561403508771928,0.5837001422183367,40
81,5,10.0,most_threat,0.6202592419459539,0.75,0.08405184846875716,0.402923750877493,0.9132036486587812,0.9825950997394115,0,tight,37,0.4567901234567901,22,59,0.2716049382716049,0.5407026686982087,37
137,5,10.0,most_threat,0.9107369145446501,0.75,0.061678080309159986,0.008752525345616801,0.8941707557511644,0.2182424631505797,0,medium,91,0.6642335766423357,38,99,0.2773722627737226,0.5352289510039572,49
41,5,10.0,most_threat,0.8000550548718923,0.75,0.11484576531233535,0.3294060024007873,0.8090611193739127,0.07850575770609147,0,tight,22,0.5365853658536586,15,26,0.36585365853658536,0.45210550572714914,22
121,5,10.0,most_threat,0.9280231159898656,0.75,0.15306573684564845,0.2502982443992946,0.8647497034734257,0.3502215385877152,0,medium,81,0.6694214876033058,22,99,0.18181818181818182,0.608688231579139,35
146,5,10.0,most_threat,0.7975526821517,0.75,0.08495334866572894,0.3304360031580364,0.8528018863670459,1.3993113137998954,1,medium,96,0.6575342465753424,0,146,0.0,0.7536309438277854,42
168,5,10.0,most_threat,0.7211104309345001,0.75,0.026790638094380623,0.7633319179242911,0.9467148396993434,1.1541426945265842,0,tight,85,0.5059523809523809,26,142,0.15476190476190477,0.6361008967166208,41
69,5,10.0,most_threat,0.9469800765978192,0.75,0.20500215597868252,0.4510203561656152,0.9465535976577943,1.3189057224889134,0,tight,39,0.5652173913043478,32,37,0.463768115942029,0.4091740389441451,39
161,5,10.0,most_threat,0.7431510042887279,0.75,0.028843723481600022,0.15196985965445425,0.8513327981628721,1.8693143460909538,0,medium,100,0.6211180124223602,33,128,0.20496894409937888,0.5871354116393396,59
186,5,10.0,most_threat,0.8765586738011907,0.75,0.04522578926332351,0.5683095333396017,0.9169056253461404,1.3764536659450857,0,medium,128,0.6881720430107527,36,150,0.1935483870967742,0.605677196450756,55
