n_drones,num_units,missiles_per_unit_avg,priority_strategy,weather_factor,terrain_factor,radar_jam,comm_jam_level,temp_factor,system_latency,resource_failure,formation,num_detected,detection_rate,num_intercepted,num_passed,success_rate,civil_risk,missiles_used
112,5,10.0,random,0.8092338898327138,0.75,0.06315336214154425,0.09193502982412396,0.8829086370000473,0.369170259074066,0,tight,36,0.32142857142857145,13,99,0.11607142857142858,0.6635104949311813,36
165,5,10.0,random,0.6214539166083323,0.75,0.04175824442364094,0.5957224113737715,0.9602654578842829,1.6591254313660997,0,tight,41,0.24848484848484848,14,151,0.08484848484848485,0.6869054140499891,39
109,5,10.0,random,0.707109725841647,0.75,0.07919210403316514,0.10951613424064965,0.8996079947736413,0.9076931276138231,0,medium,29,0.26605504587155965,5,104,0.045871559633027525,0.7243222334270959,29
190,5,10.0,random,0.7615026441913386,0.75,0.10799403120816191,0.4787393465749581,0.9352062747688067,0.5814877317813478,0,spread,60,0.3157894736842105,13,177,0.06842105263157895,0.7002460564768439,42
78,5,10.0,random,0.9929058245422785,0.75,0.1300526221695936,0.39734187298957957,0.9099432619866643,0.14988802539699364,0,medium,29,0.3717948717948718,18,60,0.23076923076923078,0.5788514442758641,29
132,5,10.0,random,0.8491316947844718,0.75,0.05311362016298661,0.09438594063773235,0.8616818617320335,1.3839850441134887,0,medium,55,0.4166666666666667,21,111,0.1590909090909091,0.6249364430143313,53
123,5,10.0,random,0.6779216319172083,0.75,0.06387057867390426,0.3707927556026295,0.9142890761077472,1.2425235118510987,0,medium,45,0.36585365853658536,10,113,0.08130081300813008,0.6774461851915364,40
175,5,10.0,random,0.9750615142231913,0.75,0.06107721788526399,0.03310494849799286,0.8777702146960209,1.348922566888747,0,spread,61,0.3485714285714286,23,152,0.13142857142857142,0.6436050394067855,57
169,5,10.0,random,0.8717816576199676,0.75,0.133219050805953,0.12920386176090573,0.9748706467248814,1.0048044394143665,0,medium,42,0.2485207100591716,12,157,0.07100591715976332,0.7031367519880003,30
64,5,10.0,random,0.9144935933083207,0.75,0.05646942299836175,0.19331924747780055,0.8827166704508351,0.800975944147587,0,tight,25,0.390625,9,55,0.140625,0.6326778311411007,25
31,5,10.0,random,0.8085064954249775,0.75,0.14318904629387488,0.10883375425877762,0.8215485527350141,1.46149383369499,0,spread,9,0.2903225806451613,5,26,0.16129032258064516,0.6457563421944775,9
35,5,10.0,random,0.7582698439834926,0.75,0.10393275149222793,0.13615593649039995,0.9241602138399577,0.1455030505532635,0,tight,5,0.14285714285714285,2,33,0.05714285714285714,0.7197771699694185,5
177,5,10.0,random,0.6493555862306875,0.75,0.03821089352498699,0.20295032187547396,0.8948768481991114,1.9066986001631139,0,medium,49,0.2768361581920904,14,163,0.07909604519774012,0.6883796536419355,46
38,5,10.0,random,0.8827945313610566,0.75,0.052279816882612115,0.5705680677921866,0.9436371336549416,1.7097183112408536,0,spread,16,0.42105263157894735,7,31,0.18421052631578946,0.6017705964153932,16
21,5,10.0,random,0.8346866980964935,0.75,0.13426595093905197,0.3367688418057095,0.9847386213104127,1.2771731004689049,0,tight,5,0.23809523809523808,3,18,0.14285714285714285,0.6492042299535685,5
153,5,10.0,random,0.6786667244590743,0.75,0.11175345888166036,0.06447386987645072,0.9494634515985605,1.857348812788163,1,medium,46,0.3006535947712418,0,153,0.0,0.7511938117761563,46
177,5,10.0,random,0.6073671952460812,0.75,0.06991016964528335,0.6584188418530116,0.9091513340089388,1.5045045123241418,0,tight,41,0.23163841807909605,13,164,0.07344632768361582,0.6924008053221328,37
87,5,10.0,random,0.9039082790084711,0.75,0.012123860527033918,0.6863481957382749,0.9937069596386174,0.7735020600183633,0,tight,29,0.3333333333333333,14,73,0.16091954022988506,0.6223994049941135,29
171,5,10.0,random,0.6469307775463278,0.75,0.09106350626715097,0.4078778763077706,0.9346532918950925,1.3870895833259256,0,tight,45,0.2631578947368421,14,157,0.08187134502923976,0.681626916810387,45
116,5,10.0,random,0.8212668217004315,0.75,0.026613876844411927,0.15739931370157423,0.9708595313943029,0.446564803961075,0,tight,43,0.3706896551724138,21,95,0.1810344827586207,0.6064143364546887,43
77,5,10.0,random,0.7152556493497612,0.75,0.09154215645058661,0.3757846770267295,0.890049811009534,1.8719093139921514,0,spread,23,0.2987012987012987,11,66,0.14285714285714285,0.6329086203601344,23
51,5,10.0,random,0.85595889506879,0.75,0.05362056591203012,0.07207427167902217,0.9678519133674193,0.418922994749922,0,tight,16,0.3137254901960784,7,44,0.13725490196078433,0.6385387652483812,16
