n_drones,num_units,missiles_per_unit_avg,priority_strategy,weather_factor,terrain_factor,radar_jam,comm_jam_level,temp_factor,system_latency,resource_failure,formation,num_detected,detection_rate,num_intercepted,num_passed,success_rate,civil_risk,missiles_used
112,5,10.0,fastest_first,0.8092338898327138,0.75,0.06315336214154425,0.09193502982412396,0.8829086370000473,0.369170259074066,0,tight,36,0.32142857142857145,14,98,0.125,0.6521030163512977,36
161,5,10.0,fastest_first,0.8597515280946489,0.75,0.06119082912681706,0.12077322769540527,0.9312635487922147,0.44130211924349694,0,tight,49,0.30434782608695654,25,136,0.15527950310559005,0.6306681033572453,49
90,5,10.0,fastest_first,0.8186459758654684,0.75,0.11267997890119727,0.28752668465003406,0.9492269040556103,0.31474316669982083,1,medium,29,0.32222222222222224,0,90,0.0,0.7580712441148009,29
68,5,10.0,fastest_first,0.7315207218313815,0.75,0.061569085138457,0.17383569493641673,0.9456609474433676,1.202773971963572,0,tight,20,0.29411764705882354,6,62,0.08823529411764706,0.6776855508202333,20
150,5,10.0,fastest_first,0.7427934768560451,0.75,0.08680578293004576,0.24818360384197444,0.9159084953700782,0.9689456180663851,0,spread,50,0.3333333333333333,13,137,0.08666666666666667,0.6919715973457702,50
78,5,10.0,fastest_first,0.824702181017756,0.75,0.08142986624202445,0.6686869983233262,0.9564910157290555,1.8586970493819834,0,tight,23,0.2948717948717949,9,69,0.11538461538461539,0.6694094337772503,23
51,5,10.0,fastest_first,0.967771840223363,0.75,0.057690628849361006,0.2502917240653845,0.8725157704346507,1.0885078187017259,0,spread,16,0.3137254901960784,4,47,0.0784313725490196,0.6979429783551738,16
99,5,10.0,fastest_first,0.9947446810120865,0.75,0.11535287132422534,0.2522528640987112,0.9583302625201191,0.5485607524502638,0,medium,38,0.3838383838383838,15,84,0.15151515151515152,0.647566273524352,38
32,5,10.0,fastest_first,0.6211823201805298,0.75,0.11828214828854401,0.45694387099881983,0.9453583023690606,0.2827182617722994,0,medium,8,0.25,1,31,0.03125,0.6997914904554915,8
159,5,10.0,fastest_first,0.7486164897798354,0.75,0.09321209351952985,0.4386016368271743,0.9227636759484444,1.2422452058236204,0,medium,61,0.3836477987421384,12,147,0.07547169811320754,0.6981842082555249,40
98,5,10.0,fastest_first,0.7362957422844052,0.75,0.0672504293644525,0.5503951080496878,0.9754931044762352,0.49529223409131107,0,spread,30,0.30612244897959184,9,89,0.09183673469387756,0.671058172449287,30
126,5,10.0,fastest_first,0.784789615556112,0.75,0.016371847104248403,0.28450850639160175,0.8934507919501445,0.5094841429860031,0,medium,45,0.35714285714285715,14,112,0.1111111111111111,0.6870532985930768,36
190,5,10.0,fastest_first,0.892298766738998,0.75,0.030341490918757624,0.20011530040725767,0.9274386677851298,1.2660155850640766,0,spread,79,0.41578947368421054,9,181,0.04736842105263158,0.7127590810392346,31
98,5,10.0,fastest_first,0.6596698857817022,0.75,0.005961787379977841,0.7639448592579622,0.9302274684101206,1.161527206634378,0,tight,27,0.2755102040816326,7,91,0.07142857142857142,0.6957047107278513,27
94,5,10.0,fastest_first,0.6530920565484826,0.75,0.11816937473360979,0.12317026145870456,0.9247602133353707,0.9897044258421297,0,tight,24,0.2553191489361702,7,87,0.07446808510638298,0.6968316417978875,24
72,5,10.0,fastest_first,0.6823131677530818,0.75,0.20326182924971672,0.32278446463009103,0.9667281784853476,1.6237456760394833,0,medium,22,0.3055555555555556,6,66,0.08333333333333333,0.7024716254046921,22
