n_drones,num_detected,num_intercepted,num_passed,success_rate,civil_risk,missiles_used,detection_rate,weather_factor,terrain_factor,radar_jam,comm_jam_level,strategy,num_units,missiles_per_unit_avg
112,44,13,99,0.11607142857142858,0.5159078590391859,44,0.39285714285714285,0.9976557444884671,0.8309195949246893,0.13946789404832302,0.3406075978332259,random,5,10.0
154,41,15,139,0.09740259740259741,0.5135659521645125,41,0.2662337662337662,0.7850374188420612,0.5166339855846792,0.09892427335332304,0.27605191479929825,random,5,10.0
35,6,1,34,0.02857142857142857,0.5235834800540923,6,0.17142857142857143,0.7027657138769173,0.9004013439892623,0.13815776973083646,0.22837006097010068,random,5,10.0
83,23,5,78,0.060240963855421686,0.5233519625054057,23,0.27710843373493976,0.691922536569066,0.8747582075783904,0.10078605515824443,0.40268672757493434,random,5,10.0
195,53,16,179,0.08205128205128205,0.5094576409215088,46,0.2717948717948718,0.7734180492629439,0.6197974414826957,0.09181044212297833,0.15710719650962363,random,5,10.0
158,64,18,140,0.11392405063291139,0.5017456406573423,29,0.4050632911392405,0.8861936719097557,0.9044636536088957,0.22908972116288617,0.5197548756701067,random,5,10.0
92,34,6,86,0.06521739130434782,0.5437269981547134,20,0.3695652173913043,0.8433964346254468,0.9488870341275255,0.036918737821101076,0.3126650508913351,random,5,10.0
76,30,14,62,0.18421052631578946,0.4597164595746894,30,0.39473684210526316,0.9208465788651601,0.892047350289924,0.08295432282168773,0.305829499589433,random,5,10.0
15,3,1,14,0.06666666666666667,0.5215502231532452,3,0.2,0.6243265247399199,0.6390769584180672,0.13269630218528777,0.17002956267596647,random,5,10.0
54,18,9,45,0.16666666666666666,0.46868488584373025,18,0.3333333333333333,0.9830813652973185,0.6924568859569753,0.10478134038589036,0.2510225242431955,random,5,10.0
131,15,6,125,0.04580152671755725,0.5696703890365223,15,0.11450381679389313,0.6959366993923558,0.5982029838245357,0.1221339408723751,0.4380862764251252,random,5,10.0
15,6,1,14,0.06666666666666667,0.5025158702159981,6,0.4,0.6717209058966578,0.8375025442911785,0.027262687441311308,0.24292011858059936,random,5,10.0
